index_dec,index_hex,group,char,source
852,0354,unconfirmed,ト,ocr
853,0355,unconfirmed,F,ocr
854,0356,confirmed,肌,token_map
855,0357,unconfirmed,る,ocr
856,0358,confirmed,当,token_map
857,0359,unconfirmed,b,ocr
858,035A,unconfirmed,p,ocr
859,035B,unconfirmed,レ,ocr
860,035C,unconfirmed,e,ocr
861,035D,unconfirmed,4,ocr
862,035E,unconfirmed,1,ocr
863,035F,confirmed,仕,token_map
864,0360,unconfirmed,を,ocr
865,0361,unconfirmed,e,ocr
866,0362,confirmed,激,token_map
867,0363,unconfirmed,=,ocr
868,0364,unconfirmed,{,ocr
869,0365,unconfirmed,R,ocr
870,0366,unconfirmed,め,ocr
871,0367,unconfirmed,{,ocr
872,0368,unconfirmed,月,ocr
873,0369,unconfirmed,H,ocr
874,036A,unconfirmed,日,ocr
875,036B,unconfirmed,A,ocr
876,036C,unconfirmed,n,ocr
877,036D,unconfirmed,O,ocr
878,036E,unconfirmed,4,ocr
879,036F,unconfirmed,ム,ocr
880,0370,unconfirmed,e,ocr
881,0371,unconfirmed,7,ocr
882,0372,unconfirmed,=,ocr
883,0373,unconfirmed,a,ocr
884,0374,unconfirmed,<,ocr
885,0375,unconfirmed,ノ,ocr
886,0376,unconfirmed,a,ocr
887,0377,unconfirmed,r,ocr
888,0378,unconfirmed,h,ocr
889,0379,unconfirmed,S,ocr
890,037A,confirmed,疲,token_map
891,037B,unconfirmed,っ,ocr
892,037C,confirmed,／,token_map
893,037D,unconfirmed,H,ocr
894,037E,unconfirmed,=,ocr
895,037F,confirmed,世,token_map
896,0380,unconfirmed,ト,ocr
897,0381,unconfirmed,i,ocr
898,0382,unconfirmed,x,ocr
899,0383,unconfirmed,中,ocr
900,0384,unconfirmed,a,ocr
901,0385,unconfirmed,),ocr
902,0386,unconfirmed,1,ocr
903,0387,unconfirmed,H,ocr
904,0388,unconfirmed,中,ocr
905,0389,unconfirmed,=,ocr
906,038A,unconfirmed,付,ocr
907,038B,unconfirmed,V,ocr
908,038C,unconfirmed,i,ocr
909,038D,confirmed,外,token_map
910,038E,unconfirmed,に,ocr
911,038F,unconfirmed,に,ocr
912,0390,unconfirmed,4,ocr
913,0391,unconfirmed,N,ocr
914,0392,unconfirmed,A,ocr
915,0393,confirmed,交,token_map
916,0394,confirmed,各,token_map
917,0395,unconfirmed,b,ocr
918,0396,unconfirmed,#,ocr
919,0397,unconfirmed,n,ocr
920,0398,unconfirmed,T,ocr
921,0399,unconfirmed,E,ocr
922,039A,confirmed,記,token_map
923,039B,unconfirmed,N,ocr
924,039C,unconfirmed,に,ocr
925,039D,unconfirmed,E,ocr
926,039E,confirmed,～,token_map
927,039F,confirmed,内,token_map
928,03A0,unconfirmed,B,ocr
929,03A1,unconfirmed,T,ocr
930,03A2,unconfirmed,貞,ocr
931,03A3,unconfirmed,a,ocr
932,03A4,unconfirmed,A,ocr
933,03A5,unconfirmed,る,ocr
934,03A6,unconfirmed,祭,ocr
935,03A7,unconfirmed,W,ocr
936,03A8,unconfirmed,l,ocr
937,03A9,unconfirmed,1,ocr
938,03AA,unconfirmed,番,ocr
939,03AB,unconfirmed,=,ocr
940,03AC,unconfirmed,I,ocr
941,03AD,unconfirmed,i,ocr
942,03AE,confirmed,×,token_map
943,03AF,confirmed,押,token_map
944,03B0,unconfirmed,B,ocr
945,03B1,unconfirmed,=,ocr
946,03B2,unconfirmed,を,ocr
947,03B3,unconfirmed,と,ocr
